accession,benchmark_type,Domain,Phylum,Class,Order,Family,Genus,Species,num_seqs,sum_len,min_len,avg_len,max_len,genome_size
GB_GCA_014652975.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria marina,2513,825249,27,328.4,2082,2786137
RS_GCF_000022025.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter chlorophenolicus,4645,1487395,30,320.2,3533,4980870
RS_GCF_000189535.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter phenanthrenivorans,4246,1360013,30,320.3,2235,4535320
RS_GCF_000238915.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis,4545,1473827,23,324.3,2030,4954410
RS_GCF_000286355.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria atrinae,4072,926673,20,227.6,1682,3197170
RS_GCF_000421745.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia alba,2367,789848,22,333.7,3585,2591866
RS_GCF_000455245.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia massiliensis,2512,794513,25,316.3,2344,2672431
RS_GCF_001046895.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter siccitolerans,4435,1417272,20,319.6,2033,4765168
RS_GCF_001457025.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter enclensis,3882,1271401,32,327.5,1735,4226231
RS_GCF_001482365.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria flava,3242,1072340,31,330.8,1668,3638342
RS_GCF_001580365.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria turfanensis,3830,1215914,31,317.5,2205,4159643
RS_GCF_003226895.2,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria tytonis,2396,808363,30,337.4,1769,2723281
RS_GCF_003595215.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia natronophila,2324,778206,32,334.9,2203,2524489
RS_GCF_003600155.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia muleiensis,3461,1110042,23,320.7,3480,3676111
RS_GCF_003634095.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter oryzae,3884,1273177,30,327.8,1826,4312407
RS_GCF_003667225.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rhizophila,2363,802375,27,339.6,2182,2701536
RS_GCF_003797835.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria soli,2644,888946,22,336.2,1975,2952089
RS_GCF_004136555.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria carniphila,3055,1025049,22,335.5,2169,3422862
RS_GCF_004364585.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia aurantiaca,2668,885976,24,332.1,1635,2948026
RS_GCF_005771525.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia salmonea,3175,1007196,22,317.2,1789,3283708
RS_GCF_005771565.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia sphaerica,2648,851489,20,321.6,2203,2791466
RS_GCF_006094695.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rosea,3587,1171057,30,326.5,2190,3946651
RS_GCF_006539885.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria varians,2480,846443,28,341.3,4681,2843576
RS_GCF_007681555.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria salsicia,2714,904821,22,333.4,4854,3055793
RS_GCF_007994735.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia populi,2360,778895,31,330,1590,2551278
RS_GCF_008831305.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria coralli,3022,1028906,20,340.5,1648,3428361
RS_GCF_009467795.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia halophila,1916,653220,24,340.9,1622,2188008
RS_GCF_009758175.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia alkaliphila,3102,1009501,21,325.4,2089,3318774
RS_GCF_010119385.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia haasae,3243,1049633,22,323.7,1839,3434649
RS_GCF_012163155.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria subflava,2883,906383,20,314.4,1646,3026447
RS_GCF_012641515.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia sedimenti,2958,953214,28,322.2,1829,3113995
RS_GCF_013314975.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter oxydans,4385,1397859,22,318.8,2042,4689826
RS_GCF_013410215.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia sandarakina,2731,905905,30,331.7,3575,3017448
RS_GCF_013410745.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia xinjiangensis,3132,1082290,30,345.6,1633,3569370
RS_GCF_014636775.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria dechangensis,4152,1301394,22,313.4,1686,4463991
RS_GCF_014639275.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter liuii,4734,1416661,23,299.3,2051,4820831
